antecedent,consequent,support,confidence,lift,antecedent_length,class
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=0', 'URL_of_Anchor=0')",Result=Suspicious,0.012014787430683918,1.0,13.195121951219512,4,0
"('SFH=0', 'SSLfinal_State=0', 'URL_of_Anchor=0')",Result=Suspicious,0.012014787430683918,1.0,13.195121951219512,3,0
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=0', 'URL_of_Anchor=0', 'having_IP_Address=0')",Result=Suspicious,0.011090573012939002,1.0,13.195121951219512,5,0
"('SFH=0', 'SSLfinal_State=0', 'URL_of_Anchor=0', 'having_IP_Address=0')",Result=Suspicious,0.011090573012939002,1.0,13.195121951219512,4,0
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=0', 'URL_of_Anchor=0', 'age_of_domain=1')",Result=Suspicious,0.010166358595194085,1.0,13.195121951219512,5,0
"('SFH=0', 'SSLfinal_State=0', 'URL_of_Anchor=0', 'age_of_domain=1')",Result=Suspicious,0.010166358595194085,1.0,13.195121951219512,4,0
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0')",Result=Legitimate,0.07578558225508318,1.0,2.470319634703196,4,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0')",Result=Legitimate,0.06284658040665435,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1')",Result=Legitimate,0.06284658040665435,1.0,2.470319634703196,3,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'having_IP_Address=0')",Result=Legitimate,0.05545286506469501,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.054528650646950096,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1')",Result=Legitimate,0.04990757855822551,1.0,2.470319634703196,3,1
